m,d,a,psi,rho,mu,theta_H,level_sum,gdp,u_C,s_L
0.2,0.2,0.8,0.75,0.0,0.17,0.1,5,4.0721373057313714,3.1074123611115874,58.381475949747596
0.2,0.2,0.8,0.75,0.0,0.17,0.25,6,4.206514554810692,3.0060125081258287,58.3738034000975
0.2,0.2,0.8,0.75,0.0,0.17,0.5,7,4.286937243259414,2.944780934892622,58.36921555435056
0.2,0.2,0.8,0.75,0.0,0.08,0.1,6,3.997899086325152,3.3002824720116273,58.38571837809597
0.2,0.2,0.8,0.75,0.0,0.08,0.25,7,4.173262177315729,3.1714173898375027,58.37570122405176
0.2,0.2,0.8,0.75,0.0,0.08,0.5,8,4.284857548438903,3.087034317430081,58.36933415579164
0.2,0.2,0.8,0.75,0.0,0.04,0.1,7,3.9203207868901746,3.4998913363063022,58.39015445366742
0.2,0.2,0.8,0.75,0.0,0.04,0.25,8,4.116546779581509,3.3670990691694462,58.3789393591468
0.2,0.2,0.8,0.75,0.0,0.04,0.5,9,4.249190380086287,3.272414214122284,58.37136850902442
0.2,0.2,0.8,0.9,0.5,0.17,0.1,4,2.9567335318206878,2.9728288533501885,59.41066871847084
0.2,0.2,0.8,0.9,0.5,0.17,0.25,5,3.033452961856109,2.917218532015683,59.40634929467842
0.2,0.2,0.8,0.9,0.5,0.17,0.5,6,3.0791298650856946,2.8840159392386213,59.40377892275117
0.2,0.2,0.8,0.9,0.5,0.08,0.1,5,2.9023667770459616,3.090492588365575,59.41373132226953
0.2,0.2,0.8,0.9,0.5,0.08,0.25,6,3.0158390338017593,3.0125759470902365,59.40734074248154
0.2,0.2,0.8,0.9,0.5,0.08,0.5,7,3.0861381744003547,2.96355132182545,59.403384631235745
0.2,0.2,0.8,0.9,0.5,0.04,0.1,6,2.860342911552549,3.1995508482940034,59.41609957334835
0.2,0.2,0.8,0.9,0.5,0.04,0.25,7,2.9964934279763655,3.1147702037192375,59.40842982992154
0.2,0.2,0.8,0.9,0.5,0.04,0.5,8,3.0867778832391224,3.0566797630902465,59.40334864199299
0.2,0.2,0.8,0.9,0.25,0.17,0.1,5,3.679428197275203,3.052301775996281,58.748348942159865
0.2,0.2,0.8,0.9,0.25,0.17,0.25,6,3.791481308759881,2.969141353959333,58.74198284075967
0.2,0.2,0.8,0.9,0.25,0.17,0.5,7,3.8582745719524913,2.9192517610924713,58.73819090024157
0.2,0.2,0.8,0.9,0.25,0.08,0.1,6,3.6148181561188153,3.2142932856856645,58.75202232960677
0.2,0.2,0.8,0.9,0.25,0.08,0.25,7,3.766995647014837,3.105286405321374,58.74337344759857
0.2,0.2,0.8,0.9,0.25,0.08,0.5,8,3.8630511812278945,3.034837163458525,58.73791980600743
0.2,0.2,0.8,0.9,0.25,0.04,0.1,7,3.5531740852377203,3.377724287407698,58.75552891825215
0.2,0.2,0.8,0.9,0.25,0.04,0.25,8,3.7282076386535357,3.2627982610511355,58.74557689910019
0.2,0.2,0.8,0.9,0.25,0.04,0.5,9,3.846103109325183,3.1817363979092717,58.738881734245176
0.2,0.2,0.8,0.9,0.0,0.17,0.1,6,4.405543913488041,3.136807441992316,58.08366537290471
0.2,0.2,0.8,0.9,0.0,0.17,0.25,7,4.552974023004008,3.0248355340218613,58.07521481835227
0.2,0.2,0.8,0.9,0.0,0.17,0.5,8,4.640704602927959,2.9575047190013337,58.0701910305236
0.2,0.2,0.8,0.9,0.0,0.08,0.1,7,4.325472817912179,3.348463741775248,58.0882592593756
0.2,0.2,0.8,0.9,0.0,0.08,0.25,8,4.51474851569702,3.20768383186652,58.07740488702273
0.2,0.2,0.8,0.9,0.0,0.08,0.5,9,4.635052923768579,3.115301811011262,58.07051455842416
0.2,0.2,0.8,0.9,0.0,0.04,0.1,8,4.236866272469131,3.5716597665261354,58.093346370664655
0.2,0.2,0.8,0.9,0.0,0.04,0.25,9,4.445888507798523,3.428061378789806,58.08135184288437
0.2,0.2,0.8,0.9,0.0,0.04,0.5,10,4.586848001449839,3.325354428203401,58.073274636995784
0.2,0.4,0.3,0.5,0.5,0.17,0.1,1,3.1393936628499874,3.124622485377597,58.82769797554804
0.2,0.4,0.3,0.5,0.5,0.17,0.25,2,3.2743780717084503,3.0206072372882113,58.82000449819169
0.2,0.4,0.3,0.5,0.5,0.17,0.5,3,3.3576874931340983,2.9558321412406046,58.815260552708594
0.2,0.4,0.3,0.5,0.5,0.08,0.1,2,3.05756925214844,3.3204096653204833,58.83236578512471
0.2,0.4,0.3,0.5,0.5,0.08,0.25,3,3.228946810451583,3.1923030772228995,58.822592903926484
0.2,0.4,0.3,0.5,0.5,0.08,0.5,4,3.3403958943131196,3.106891866222561,58.81624493046238
0.2,0.4,0.3,0.5,0.5,0.04,0.1,3,2.979825571857053,3.5110399015470044,58.83680374654092
